 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      2   3    0     80   3  16   1280    112 -2.10515811954665E-07  1.42953843207394E-11  2.602045E+01
        1      2   3    0     80   3  32   1280    224 -2.10451863137259E-07  6.52427677855227E-12  4.884421E+01
        1      2   3    0     80   3  64   1280    448 -2.10455032858145E-07 -1.18633011400582E-12  9.192075E+01
        1      2   3    0     80   3 128   1280    896 -2.10457964560826E-07  2.65991872624993E-13  1.688229E+02
        1      2   3    0     80   4  16   2000    112 -2.48431372426625E-08 -1.38107580927027E-12  6.907040E+01
        1      2   3    0     80   4  32   2000    224 -2.47400602767947E-08  5.82380497993196E-12  1.298659E+02
        1      2   3    0     80   4  64   2000    448 -2.47417568011109E-08 -3.10012866072684E-13  2.430246E+02
        1      2   3    0     80   4 128   2000    896 -2.47490805614713E-08  9.41900637346782E-14  4.515561E+02
        1      2   3    1    320   1  16   1280    112 -5.21645148303497E-12  5.00258515168106E-12  1.063647E+01
        1      2   3    1    320   1  32   1280    224 -5.16245417069962E-12  3.92220544237487E-13  1.831731E+01
        1      2   3    1    320   1  64   1280    448 -5.14022168520058E-12  7.72567773643651E-14  3.160363E+01
        1      2   3    1    320   1 128   1280    896 -5.14167684130979E-12 -3.09254575073248E-13  6.069008E+01
        1      2   3    1    320   2  16   2880    112 -9.15532584972682E-13  2.16007767228632E-14  2.323437E+01
        1      2   3    1    320   2  32   2880    224 -7.80948917978239E-13 -2.45983788893511E-13  4.514400E+01
        1      2   3    1    320   2  64   2880    448 -7.66943470599840E-13 -8.84821729774110E-14  8.190674E+01
        1      2   3    1    320   2 128   2880    896 -7.92934737180317E-13 -1.11137227892799E-14  1.425166E+02
        1      2   3    1    320   3  16   5120    112 -2.51895713387941E-10  6.93490750935943E-12  8.636872E+01
