 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      2   2    1    320   1  64   1280    448 -1.37416909457658E-01  2.72903878315023E-13  1.339036E+02
        1      2   2    1    320   1 128   1280    896 -1.37415912736359E-01 -8.90259437349994E-13  1.566013E+02
        1      2   2    1    320   2  16   2880    112 -1.13393750931775E-01  7.25273313628705E-12  1.177230E+02
        1      2   2    1    320   2  32   2880    224 -1.13717839796368E-01  4.75922252995975E-13  2.257771E+02
        1      2   2    1    320   2  64   2880    448 -1.13722678478906E-01 -1.55840943448504E-13  3.151449E+02
        1      2   2    1    320   2 128   2880    896 -1.13721129270760E-01 -1.26074877534327E-13  6.019669E+02
        1      2   2    1    320   3  16   5120    112 -1.12198395642649E-01  6.72294164782983E-12  3.022405E+02
        1      2   2    1    320   3  32   5120    224 -1.13077991045299E-01 -5.98696439646496E-13  5.843480E+02
        1      2   2    1    320   3  64   5120    448 -1.13122767559569E-01 -1.45131194388692E-13  7.635812E+02
        1      2   2    1    320   3 128   5120    896 -1.13122899681006E-01 -2.81178400875215E-13  1.589374E+03
        1      2   2    1    320   4  16   8000    112 -1.11385797981507E-01 -6.44172215569228E-13  7.938085E+02
        1      2   2    1    320   4  32   8000    224 -1.12939367958721E-01  3.47096049818640E-13  1.542058E+03
        1      2   2    1    320   4  64   8000    448 -1.13034715844100E-01  8.16702391479018E-14  2.296309E+03
        1      2   2    1    320   4 128   8000    896 -1.13038304238029E-01  8.31469225068271E-15  3.192443E+03
        1      2   2    2   1280   1  16   5120    112 -1.18198458773881E-01 -2.04311801851875E-10  1.407423E+02
        1      2   2    2   1280   1  32   5120    224 -1.18425033492223E-01  7.64917643114593E-12  2.643406E+02
        1      2   2    2   1280   1  64   5120    448 -1.18424155316394E-01 -1.14129593362794E-12  3.050524E+02
        1      2   2    2   1280   1 128   5120    896 -1.18422610697616E-01  8.95875713023686E-14  5.954051E+02
        1      2   2    2   1280   2  16  11520    112 -1.12143669298415E-01 -3.16858084908889E-11  4.754817E+02
        1      2   2    2   1280   2  32  11520    224 -1.13166429182981E-01 -1.89207590567397E-13  9.069052E+02
        1      2   2    2   1280   2  64  11520    448 -1.13221512486706E-01 -1.55213840911939E-13  1.522207E+03
        1      2   2    2   1280   2 128  11520    896 -1.13222316324666E-01 -2.58816351596941E-13  1.949521E+03
        1      2   2    2   1280   3  16  20480    112 -1.10835583034961E-01  2.06140946326650E-11  1.249950E+03
        1      2   2    2   1280   3  32  20480    224 -1.12900793013310E-01 -1.42638249302218E-11  2.365221E+03
        1      2   2    2   1280   3  64  20480    448 -1.13033256298088E-01  2.17223206653086E-12  3.505343E+03
        1      2   2    2   1280   3 128  20480    896 -1.13039396198735E-01 -6.25132934241497E-13  5.118052E+03
        1      2   2    2   1280   4  16  32000    112 -1.09410152168447E-01 -4.56857002315708E-10  3.503924E+03
        1      2   2    2   1280   4  32  32000    224 -1.12794292707057E-01  8.71917620569318E-11  5.768381E+03
        1      2   2    2   1280   4  64  32000    448 -1.13021726139971E-01 -2.56924212807541E-12  1.023801E+04
        1      2   2    2   1280   4 128  32000    896 -1.13034246807088E-01 -4.96308754456467E-12  1.398549E+04
        1      2   3    0     80   1  16    320    112 -4.52459314363125E-09 -1.69866551380515E-12  4.076349E+00
        1      2   3    0     80   1  32    320    224 -4.52339944245177E-09 -3.60980342839490E-13  9.075987E+00
        1      2   3    0     80   1  64    320    448 -4.52217174955223E-09 -1.65911034910593E-12  1.585394E+01
        1      2   3    0     80   1 128    320    896 -4.52153423371376E-09  1.18178036800920E-15  2.797479E+01
        1      2   3    0     80   2  16    720    112 -5.11550525645784E-10  3.97643723504260E-13  9.935019E+00
        1      2   3    0     80   2  32    720    224 -4.83820939656902E-10 -1.68607315609304E-13  1.736203E+01
        1      2   3    0     80   2  64    720    448 -4.72850810714582E-10 -1.31169988065727E-12  3.030467E+01
        1      2   3    0     80   2 128    720    896 -4.71061872073929E-10 -5.11675337516726E-13  5.097613E+01
        1      2   3    0     80   3  16   1280    112 -2.10515811954665E-07  1.42953843207394E-11  2.601945E+01
        1      2   3    0     80   3  32   1280    224 -2.10451863137259E-07  6.52427677855227E-12  4.888692E+01
        1      2   3    0     80   3  64   1280    448 -2.10455032858145E-07 -1.18633011400582E-12  9.231237E+01
        1      2   3    0     80   3 128   1280    896 -2.10457964560826E-07  2.65991872624993E-13  1.718804E+02
        1      2   3    0     80   4  16   2000    112 -2.48431372426625E-08 -1.38107580927027E-12  6.839645E+01
        1      2   3    0     80   4  32   2000    224 -2.47400602767947E-08  5.82380497993196E-12  1.296526E+02
        1      2   3    0     80   4  64   2000    448 -2.47417568011109E-08 -3.10012866072684E-13  2.448649E+02
        1      2   3    0     80   4 128   2000    896 -2.47490805614713E-08  9.41900637346782E-14  4.478275E+02
        1      2   3    1    320   1  16   1280    112 -5.21645148303497E-12  5.00258515168106E-12  1.070148E+01
        1      2   3    1    320   1  32   1280    224 -5.16245417069962E-12  3.92220544237487E-13  1.813661E+01
        1      2   3    1    320   1  64   1280    448 -5.14022168520058E-12  7.72567773643651E-14  3.137759E+01
        1      2   3    1    320   1 128   1280    896 -5.14167684130979E-12 -3.09254575073248E-13  6.027718E+01
        1      2   3    1    320   2  16   2880    112 -9.15532584972682E-13  2.16007767228632E-14  2.317131E+01
        1      2   3    1    320   2  32   2880    224 -7.80948917978239E-13 -2.45983788893511E-13  4.495855E+01
        1      2   3    1    320   2  64   2880    448 -7.66943470599840E-13 -8.84821729774110E-14  8.155197E+01
        1      2   3    1    320   2 128   2880    896 -7.92934737180317E-13 -1.11137227892799E-14  1.411342E+02
        1      2   3    1    320   3  16   5120    112 -2.51895713387941E-10  6.93490750935943E-12  8.534628E+01
